title,price,status,brand,shortDescription,processorBrand,processorModel,displaySize,ram,ramType,storageCapacity
"Lenovo Legion S7 16ARHA7 Ryzen 7 6800H RX 6800S 8GB Graphics 16"" Gaming Laptop","160,500৳165,000৳",In Stock,Lenovo,"['MPN: 82UG001WIN', 'Model: Legion S7 16ARHA7', 'Processor: AMD Ryzen 7 6800H (16M Cache, 3.2 GHz up to 4.7 GHz)', 'RAM: 16GB DDR5, Storage: 1TB SSD', 'Graphics: RX 6800S 8GB GDDR6', 'Features: Backlit Keyboard, E-shutter']",AMD,Ryzen 7 6800H,"16""",16GB,DDR5,1TB SSD
"Lenovo Legion 5 Pro 16ARH7H Ryzen 7 6800H RTX 3070 8GB Graphics 16"" 165Hz Gaming Laptop","180,500৳185,000৳",In Stock,Lenovo,"['MPN: 82RG00CDIN', 'Model: Legion 5 Pro 16ARH7H', 'Processor: AMD Ryzen 7 6800H (16M Cache, 3.2 GHz up to 4.7 GHz)', 'RAM: 16GB DDR5, Storage: 1TB SSD', 'Graphics: GeForce RTX 3070 8GB', 'Features: Backlit Keyboard, 165Hz Display, Type-C']",AMD,Ryzen 7 6800H,"16""",16GB (8GB x2),DDR5,1TB SSD
"Lenovo Legion Pro 5 16ARX8 Ryzen 7 7745HX RTX 4060 8GB GDDR6 Graphics 16"" WQXGA 240Hz Gaming Laptop","220,500৳225,000৳",In Stock,Lenovo,"['MPN: 82WM00BFLK', 'Model: Legion Pro 5 16ARX8', 'Processor: AMD Ryzen 7 7745HX (8C / 16T, 3.6 / 5.1GHz, 8MB L2 / 32MB L3)', 'Ram: 16GB DDR5-5200, Storage: 1TB M.2 PCIe 4.0x4 NVMe SSD', 'Graphics: NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz', 'Features: RGB Backlit, Type-C, FHD 1080p with E-shutter']",AMD,Ryzen 7 7745HX,16-inch,16GB (2x 8GB),DDR5,1TB
"Lenovo Legion 7 16ARHA7 Ryzen 9 6900HX RX 6850M 12GB Graphics 16"" Gaming Laptop","230,500৳240,000৳",In Stock,Lenovo,"['MPN: 82UH003TIN', 'Model: Legion 7 16ARHA7', 'Processor: AMD Ryzen 9 6900HX (8C / 16T, 3.3 / 4.9GHz, 4MB L2 / 16MB L3)', 'RAM: 32GB DDR5, Storage: 1TB SSD', 'Graphics: RX 6850M 12GB GDDR6', 'Features: Backlit Keyboard, E-shutter']",AMD,Ryzen 9 6900HX,"16""",2x 16GB SO-DIMM,DDR5,1TB SSD
"Lenovo Legion 7 16ACHg6 Ryzen 7 5800H RTX 3080 16GB Graphics 16"" 165Hz Gaming Laptop","280,000৳307,000৳",In Stock,Lenovo,"['MPN: 82N600NEIN', 'Model: Legion 7 16ACHg6', 'Processor: AMD Ryzen 7 5800H (16M Cache, 3.2 GHz up to 4.4 GHz)', 'RAM: 16GB DDR4, Storage: 1TB SSD', 'Graphics: RTX 3080 16GB GDDR6', 'Features: Backlit Keyboard, 165Hz display']",AMD,Ryzen 7 5800H,16 Inch,16GB,DDR4,1TB
"Lenovo Legion Pro 5 16ARX8 Ryzen 7 7745HX RTX 4070 8GB GDDR6 Graphics 16"" WQXGA 240Hz Gaming Laptop","245,500৳250,000৳",In Stock,Lenovo,"['MPN: 82WM00C3LK', 'Model: Legion Pro 5 16ARX8', 'Processor: AMD Ryzen 7 7745HX (8C / 16T, 3.6 / 5.1GHz, 8MB L2 / 32MB L3)', 'Ram: 16GB DDR5-5200, Storage: 1TB M.2 PCIe 4.0x4 NVMe SSD', 'Graphics: NVIDIA GeForce RTX 4070 8GB GDDR6, Boost Clock 2175MHz', 'Features: RGB Backlit, Type-C, FHD 1080p with E-shutter']",AMD,Ryzen 7 7745HX,16-inch,16GB (2x 8GB),DDR5,1TB
"HP Victus Gaming 15-fa1251TX Core i7 13th Gen RTX 3050 6GB Graphics 15.6"" FHD Gaming Laptop","149,000৳",In Stock,HP,"['MPN: 9T2H5PA', 'Model: Victus Gaming 15-fa1251TX', 'Processor: Intel Core i7-13700H (24M Cache, 3.7 GHz up to 5.0 GHz)', 'RAM: 8GB DDR4, Storage: 512GB SSD', 'NVIDIA GeForce RTX 3050 6GB GDDR6 Graphics', 'Features: Backlit Keyboard, Dual speakers']",Intel,Core i7-13700H,15.6 Inch,8 GB (1 x 8 GB),DDR4,512GB
"HP Victus Gaming 15-fa1252TX Core i7 13th Gen RTX 4050 6GB Graphics 15.6"" FHD Gaming Laptop","169,000৳",In Stock,HP,"['MPN: 9T2H6PA', 'Model: Victus Gaming 15-fa1252TX', 'Processor: Intel Core i7-13700H (24M Cache, 3.7 GHz up to 5.0 GHz)', 'RAM: 16GB DDR4, Storage: 1TB SSD', 'NVIDIA GeForce RTX 4050 6GB GDDR6 Graphics', 'Features: Backlit Keyboard, Dual speakers']",Intel,Core i7-13700H,15.6 Inch,16 GB (2 x 8 GB),DDR4,1TB
"AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Concrete Grey Color","25,000৳",In Stock,AVITA,"['MPN: NE14A2BDC44A-CRB', 'Model: Essential 14', 'Processor: Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 4GB LPDDR4, Storage: 256GB SATA SSD', 'Display: 14"" FHD (1920 x 1080) IPS', 'Features: 2M WebCam, 0.8W x 2 Speaker']",Intel,Celeron N4020,14 Inch,4GB,LPDDR4,256GB
"AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Matt White Color","19,000৳25,000৳",In Stock,AVITA,"['MPN: NE14A2BDC44A-MWB', 'Model: AVITA Essential 14', 'Processor: Intel Celeron N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)', 'RAM: 4GB LPDDR4, Storage: 256GB SATA SSD', 'Display: 14"" FHD (1920 x 1080) IPS', 'Features: 2M WebCam, 0.8W x 2 Speaker']",Intel,Celeron N4020,14 Inch,4GB,LPDDR4,256GB
